분류번호,측정소명,년/월/일,회차,경도,위도,채수시각,수심(m),수온(℃),DO,BOD(㎎/L),COD(㎎/L),SS(㎎/L),TN(㎎/L),TP(㎎/L),TOC(㎎/L),경도_십진수,위도_십진수
3008A20,회인천,2025-01-03,1회차,"127°35'39.51""","36°28'.92""",10:28,,4.5,13.6,0.6,1.1,1.8,2.767,0.005,1.4,127.5943083,36.46692222
1013A90,가평천3,2025-01-06,1회차,"127°31'2.28""","37°49'53.04""",:,,,,,,,,,,127.5173,37.8314
1007A75,강상,2025-01-06,1회차,"127°29'22.2""","37°29'8.88""",14:50,,3.3,13.6,1.2,2.8,1.7,3.377,0.017,2.2,127.4895,37.4858
1007A20,강천,2025-01-06,1회차,"127°41'12.9""","37°16'21.1""",11:00,,3.4,14.3,1.2,2.9,1.8,3.199,0.015,1.9,127.6869167,37.27252778
1016A75,경안천10,2025-01-06,1회차,"127°18'48.5""","37°26'13""",13:05,,4.6,13.5,1.3,3.7,2,4.708,0.026,2.4,127.3134722,37.43694444
1016A45,경안천6,2025-01-06,1회차,"127°14'20.8""","37°21'24.2""",:,,,,,,,,,,127.2391111,37.35672222
1007A59,곡수천2,2025-01-06,1회차,"127°34'.08""","37°22'34.39""",:,,,,,,,,,,127.5666889,37.37621944
1001A15,골지천2,2025-01-06,1회차,"128°58'40.2""","37°19'12.1""",11:00,,4.9,11.9,0.3,0.6,2,2.525,0.007,0.8,128.9778333,37.32002778
1019A60,공릉천5,2025-01-06,1회차,"126°44'3.12""","37°45'25.92""",:,,,,,,,,,,126.7342,37.7572
3012A20,공주1,2025-01-06,1회차,"127°7'27.58""","36°27'59.19""",11:30,,5.1,13.6,1.2,5.4,4.7,4.532,0.043,4,127.1243278,36.46644167
1013A05,공지천1,2025-01-06,1회차,"127°44'26.3""","37°51'26.8""",11:40,,2.9,13.9,1.1,3.8,2,4.825,0.055,2.4,127.7406389,37.85744444
1013A10,공지천2,2025-01-06,1회차,"127°43'14.2""","37°52'14.6""",11:28,,4.4,13.1,0.4,3.2,1.6,3.635,0.035,1.6,127.7206111,37.87072222
1013A20,공지천3,2025-01-06,1회차,"127°42'39.5""","37°52'23.2""",11:17,,2.9,13.2,1,3.3,2.1,2.697,0.025,2.1,127.7109722,37.87311111
1101A73,관리천,2025-01-06,1회차,"126°57'11.88""","37°3'53.28""",:,,,,,,,,,,126.9533,37.0648
4001A10,관촌,2025-01-06,1회차,"127°17'26.4""","35°42'48.6""",12:00,,3.4,13.3,0.7,2.6,0.7,2.491,0.005,2.2,127.2906667,35.7135
3203A10,광천천,2025-01-06,1회차,"126°38'32.28""","36°30'43.56""",14:30,,5.3,13.2,3.8,5.3,3.2,19.35,0.147,5.6,126.6423,36.5121
2201A39,구영,2025-01-06,1회차,"129°14'54.24""","35°33'41.4""",11:15,,9.1,10.2,1.6,4.6,2.4,5.172,0.033,2.6,129.2484,35.5615
1015A42,구운천2,2025-01-06,1회차,"127°22'31.08""","37°40'37.2""",:,,,,,,,,,,127.3753,37.677
1025A69,구의,2025-01-06,1회차,"127°6'46.08""","37°32'41.64""",:,,,,,,,,,,127.1128,37.5449
1019A40,굴포천4,2025-01-06,1회차,"126°46'22.14""","37°34'30.22""",:,,,,,,,,,,126.7728167,37.57506111
1025A15,궁촌천,2025-01-06,1회차,"127°13'24.9""","37°34'18.2""",10:05,,4.6,11.8,1.4,3.3,2.5,5.522,0.066,1.9,127.2235833,37.57172222
3012A32,금강,2025-01-06,1회차,"127°6'.1""","36°27'52.7""",10:20,,5.1,13.5,1.3,5.6,3.7,4.584,0.036,4,127.1000278,36.46463889
1007A22,금당천2,2025-01-06,1회차,"127°40'36.6""","37°18'12.2""",:,,,,,,,,,,127.6768333,37.30338889
2012A70,금호강8,2025-01-06,1회차,"128°28'18.8""","35°51'13.6""",13:40,,5.7,12.6,1.3,5.7,0.8,6.319,0.031,4,128.4718889,35.85377778
2101A40,기계천,2025-01-06,1회차,"129°14'18.24""","36°3'7.56""",14:14,,7.2,15.3,1.5,2.2,1.1,3.52,0.019,2.9,129.2384,36.0521
3014A40,길산천1,2025-01-06,1회차,"126°43'50.96""","36°4'28.9""",12:10,,4,12.8,1.7,6,5,2.2,0.035,2.1,126.7308222,36.07469444
2009A05,낙단,2025-01-06,1회차,"128°18'28.4""","36°21'40.2""",12:00,,,,,,,,,,128.3078889,36.36116667
2019A30,남강3,2025-01-06,1회차,"128°7'39.26""","35°12'45.48""",9:43,,6.2,15.4,1.3,3,1.2,2.96,0.018,3.2,128.1275722,35.21263333
2019A40,남강5,2025-01-06,1회차,"128°17'44.6""","35°18'47.6""",12:31,,5.1,14.7,1.6,3.7,1.7,3.517,0.016,2.7,128.2957222,35.31322222
2019A80,남강7,2025-01-06,1회차,"128°25'49.1""","35°23'23.28""",10:30,,5.8,13.1,1.5,3.9,1.6,2.619,0.022,2.2,128.4303056,35.3898
4004A20,남원,2025-01-06,1회차,"127°17'58.55""","35°18'32.92""",14:15,,3.8,13.6,0.9,3.1,1.1,1.966,0.026,0.8,127.2995972,35.30914444
1012A20,내린천2,2025-01-06,1회차,"128°11'27.79""","38°3'59.86""",:,,,,,,,,,,128.1910528,38.06662778
2004A90,내성천5,2025-01-06,1회차,"128°18'19.85""","36°35'13.96""",12:20,,3.6,14,0.5,2.7,4,2.733,0.046,1.8,128.3055139,36.58721111
2403A10,냉천,2025-01-06,1회차,"129°24'6.02""","35°59'36.67""",15:15,,8.3,14.1,4.4,6.1,15.8,1.97,0.074,6.6,129.4016722,35.99351944
