조사년도,조사회차,PTNM,학명,국명,개체밀도
2024,2,오미천(원주),Baetis ursinus,방울하루살이,4
2024,2,오미천(원주),Cheumatopsyche brevilineata,꼬마줄날도래,71
2024,2,오미천(원주),Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),8
2024,2,오미천(원주),Choroterpes (Euthraulus) altioculus,세갈래하루살이,26
2024,2,오미천(원주),Drunella aculea,뿔하루살이,86
2024,2,오미천(원주),Dugesia sp.,플라나리아류,4
2024,2,오미천(원주),Ecdyonurus bajkovae,몽땅하루살이,4
2024,2,오미천(원주),Ecdyonurus kibunensis,두점하루살이,12
2024,2,오미천(원주),Epeorus pellucidus,부채하루살이,130
2024,2,오미천(원주),Ephemera orientalis,동양하루살이,45
2024,2,오미천(원주),Eubrianax ramicornis,둥근물삿갓벌레,4
2024,2,오미천(원주),Gumaga orientalis,동양털날도래,30
2024,2,오미천(원주),Hydropsyche kozhantschikovi,줄날도래,86
2024,2,오미천(원주),Hydropsyche valvata,흰점줄날도래,41
2024,2,오미천(원주),Limnodrilus gotoi,실지렁이,12
2024,2,오미천(원주),Potamanthus formosus,작은강하루살이,19
2024,2,오미천(원주),Psilotreta sp.,바수염날도래류,8
2024,2,오미천(원주),Rhoenanthus coreanus,강하루살이,4
2024,2,오미천(원주),Rhyacophila lata,올챙이물날도래,26
2024,2,오미천(원주),Rhyacophila yamanakensis,곤봉물날도래,4
2024,2,오미천(원주),Serratella setigera,범꼬리하루살이,263
2024,2,오미천(원주),Stenelmis nipponica,곰보긴다리여울벌레,12
2024,2,오미천(원주),Stenopsyche bergeri,연날개수염치레각날도래,15
2024,2,오미천(원주),Stenopsyche marmorata,멋쟁이각날도래,26
2024,2,오미천(원주),Teloganopsis punctisetae,등줄하루살이,419
2024,1,엄둔천,Amphinemura KUa,총채민강도래 KUa,15
2024,1,엄둔천,Antocha KUa,명주각다귀 KUa,4
2024,1,엄둔천,Baetis silvaticus,감초하루살이,49
2024,1,엄둔천,Cheumatopsyche brevilineata,꼬마줄날도래,4
2024,1,엄둔천,Chironomidae spp.(non-red type),깔따구류 spp.(red type 아닌 것),89
2024,1,엄둔천,Cincticostella levanidovae,민하루살이,23
2024,1,엄둔천,Cincticostella orientalis,먹하루살이,4
2024,1,엄둔천,Drunella aculea,뿔하루살이,8
2024,1,엄둔천,Ecdyonurus kibunensis,두점하루살이,8
2024,1,엄둔천,Epeorus nipponicus,흰부채하루살이,23
2024,1,엄둔천,Epeorus pellucidus,부채하루살이,78
2024,1,엄둔천,Gammarus sp.,옆새우류,4
2024,1,엄둔천,Hydropsyche orientalis,동양줄날도래,8
2024,1,엄둔천,Kamimuria coreana,한국강도래,4
2024,1,엄둔천,Lepidostoma KUb,네모집날도래 KUb,60
2024,1,엄둔천,Nemoura KUb,민강도래 KUb,8
2024,1,엄둔천,Nigrobaetis bacillus,깜장하루살이,15
2024,1,엄둔천,Oyamia nigribasis,진강도래,4
2024,1,엄둔천,Paraleptophlebia japonica,두갈래하루살이,15
2024,1,엄둔천,Rhyacophila brevicephala,넓은머리물날도래,4
2024,1,엄둔천,Rhyacophila lata,올챙이물날도래,4
2024,1,엄둔천,Semisulcospira libertina,다슬기,12
2024,1,엄둔천,Teloganopsis punctisetae,등줄하루살이,15
2024,1,엄둔천,Wormaldia KUa,입술날도래 KUa,19
