법정구역코드,시도,시군구,읍면동,리,FullAddress,하수처리시설명,하수처리_시설코드,분뇨처리시설명,분뇨처리_시설코드,지정내역,인구 총계(명),시가 인구(명)_하수처리지역(분류식),시가 인구(명)_하수처리지역(합류식),시가 인구(명)_하수미처리지역(오수),시가 인구(명)_하수미처리지역(정화조),시가 인구(명)_하수미처리지역(수거식),비시가 인구(명)_하수처리지역(분류식),비시가 인구(명)_하수처리지역(합류식),비시가 인구(명)_하수미처리지역(오수),비시가 인구(명)_하수미처리지역(정화조),비시가 인구(명)_하수미처리지역(수거식)
2771025323,대구광역시,달성군,논공읍,삼리리,대구광역시 달성군 논공읍 삼리리,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,456,194,0,4,12,0,228,0,5,13,0
2771025324,대구광역시,달성군,논공읍,위천리,대구광역시 달성군 논공읍 위천리,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,228,187,0,12,15,0,12,0,1,1,0
2771025325,대구광역시,달성군,논공읍,상리,대구광역시 달성군 논공읍 상리,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,318,159,0,97,33,0,16,0,10,3,0
2771025326,대구광역시,달성군,논공읍,하리,대구광역시 달성군 논공읍 하리,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,167,78,0,4,7,0,69,0,3,6,0
2771025327,대구광역시,달성군,논공읍,남리,대구광역시 달성군 논공읍 남리,달성산업단지폐수종말처리시설,277100I01,서부분뇨처리장,272900F01,일반지역,5956,3633,0,0,0,0,2323,0,0,0,0
2771025328,대구광역시,달성군,논공읍,북리,대구광역시 달성군 논공읍 북리,달성산업단지폐수종말처리시설,277100I01,서부분뇨처리장,272900F01,일반지역,7715,7252,0,0,0,0,463,0,0,0,0
2771025329,대구광역시,달성군,논공읍,본리리,대구광역시 달성군 논공읍 본리리,달성산업단지폐수종말처리시설,277100I01,서부분뇨처리장,272900F01,일반지역,459,118,0,0,268,0,22,0,0,51,0
2771025621,대구광역시,달성군,다사읍,이천리,대구광역시 달성군 다사읍 이천리,다사이천마을하수도,277100V05,서부분뇨처리장,272900F01,일반지역,144,59,0,0,0,0,85,0,0,0,0
2771025622,대구광역시,달성군,다사읍,달천리,대구광역시 달성군 다사읍 달천리,다사달천마을하수도,277100V04,서부분뇨처리장,272900F01,일반지역,130,88,0,0,0,0,42,0,0,0,0
2771025623,대구광역시,달성군,다사읍,박곡리,대구광역시 달성군 다사읍 박곡리,다사박곡마을하수도,277100V03,서부분뇨처리장,272900F01,일반지역,163,70,0,0,0,0,93,0,0,0,0
2771025626,대구광역시,달성군,다사읍,세천리,대구광역시 달성군 다사읍 세천리,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,14191,13142,0,102,663,284,0,0,0,0,0
2771025627,대구광역시,달성군,다사읍,죽곡리,대구광역시 달성군 다사읍 죽곡리,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,19741,18162,0,0,0,0,1579,0,0,0,0
2771025628,대구광역시,달성군,다사읍,매곡리,대구광역시 달성군 다사읍 매곡리,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,32416,25850,0,306,2694,0,3195,0,38,333,0
2771025631,대구광역시,달성군,다사읍,문산리,대구광역시 달성군 다사읍 문산리,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,207,63,0,8,35,0,60,0,7,34,0
2771025921,대구광역시,달성군,유가읍,음리,대구광역시 달성군 유가읍 음리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,181,81,0,0,8,0,84,0,0,8,0
2771025922,대구광역시,달성군,유가읍,양리,대구광역시 달성군 유가읍 양리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,160,0,0,0,0,0,68,0,0,92,0
2771025924,대구광역시,달성군,유가읍,봉리,대구광역시 달성군 유가읍 봉리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,25838,25838,0,0,0,0,0,0,0,0,0
2771025925,대구광역시,달성군,유가읍,쌍계리,대구광역시 달성군 유가읍 쌍계리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,2724,792,0,185,58,0,1291,0,303,95,0
2771025926,대구광역시,달성군,유가읍,초곡리,대구광역시 달성군 유가읍 초곡리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,116,0,0,0,0,0,83,0,0,33,0
2771025927,대구광역시,달성군,유가읍,상리,대구광역시 달성군 유가읍 상리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,324,45,0,24,164,0,17,0,10,64,0
2771025928,대구광역시,달성군,유가읍,금리,대구광역시 달성군 유가읍 금리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,318,202,0,15,101,0,0,0,0,0,0
2771025929,대구광역시,달성군,유가읍,유곡리,대구광역시 달성군 유가읍 유곡리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,414,279,0,0,40,0,83,0,0,12,0
2771025930,대구광역시,달성군,유가읍,도의리,대구광역시 달성군 유가읍 도의리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,205,0,0,0,0,0,205,0,0,0,0
2771025932,대구광역시,달성군,유가읍,한정리,대구광역시 달성군 유가읍 한정리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,278,0,0,0,0,0,224,0,0,54,0
2771025933,대구광역시,달성군,유가읍,본말리,대구광역시 달성군 유가읍 본말리,달성하수처리장,277100W01,서부분뇨처리장,272900F01,일반지역,123,0,0,0,0,0,117,0,2,4,0
2771026221,대구광역시,달성군,옥포읍,신당리,대구광역시 달성군 옥포읍 신당리,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,400,200,0,0,0,0,200,0,0,0,0
2771026222,대구광역시,달성군,옥포읍,교항리,대구광역시 달성군 옥포읍 교항리,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,9705,6794,0,0,0,0,2911,0,0,0,0
2771026223,대구광역시,달성군,옥포읍,강림리,대구광역시 달성군 옥포읍 강림리,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,6533,3473,0,0,914,1166,613,0,0,161,206
2771026224,대구광역시,달성군,옥포읍,송촌리,대구광역시 달성군 옥포읍 송촌리,,,서부분뇨처리장,272900F01,일반지역,69,0,0,0,6,0,0,0,0,63,0
2771026225,대구광역시,달성군,옥포읍,간경리,대구광역시 달성군 옥포읍 간경리,대구서부하수종말처리장,272900W01,서부분뇨처리장,272900F01,일반지역,562,309,0,0,0,0,253,0,0,0,0
